age,income,loan_amount,employment_type,application_date,remarks,Loan_Default,income_to_loan_ratio,loan_per_income,employment_type_encoded,application_year,application_month,application_day,application_weekday,remarks_length,word_count,age_group,age_income_interaction
25,35000,100000,Salaried,2025-01-15,Need loan for education,0,0.34999650003499966,2.8570612268220907,1,2025,1,15,Wednesday,23,4,Young,875000
40,70000,200000,Business,2025-02-10,Business expansion loan,0,0.34999825000874996,2.8571020413994086,0,2025,2,10,Monday,23,3,Middle,2800000
30,45000,150000,Salaried,2025-03-05,Personal expenses,1,0.29999800001333327,3.3332592609053133,1,2025,3,5,Wednesday,17,2,Adult,1350000
50,90000,250000,Self-Employed,2025-01-20,Medical emergency,0,0.35999856000575997,2.7777469139231785,2,2025,1,20,Monday,17,2,Middle,4500000
35,50000,180000,Business,2025-04-12,Home renovation,1,0.2777762345764746,3.599928001439971,0,2025,4,12,Saturday,15,2,Adult,1750000
28,38000,120000,Salaried,2025-05-01,Need quick approval,0,0.3166640277997683,3.1578116365358806,1,2025,5,1,Thursday,19,3,Adult,1064000
45,80000,220000,Self-Employed,2025-03-18,Equipment purchase,1,0.36363471075131476,2.7499656254296823,2,2025,3,18,Tuesday,18,2,Middle,3600000
32,55000,160000,Business,2025-02-25,Working capital,0,0.34374785157592763,2.909038017490591,0,2025,2,25,Tuesday,15,2,Adult,1760000
29,42000,130000,Salaried,2025-04-08,Family expenses,1,0.3230744378889393,3.0951644008475987,1,2025,4,8,Tuesday,15,2,Adult,1218000
38,65000,190000,Business,2025-05-15,Office setup,0,0.34210346261335467,2.9230319533545637,0,2025,5,15,Thursday,12,2,Middle,2470000
